[03Jan2025 00:00:00.540] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=287, y=219, z=1245} BlockPos{x=289, y=219, z=1245}
[03Jan2025 00:00:06.277] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=289, y=219, z=1240} BlockPos{x=290, y=219, z=1242}
[03Jan2025 00:00:06.338] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=289, y=219, z=1240} BlockPos{x=290, y=219, z=1242}
[03Jan2025 00:00:06.389] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=289, y=219, z=1240} BlockPos{x=290, y=219, z=1242}
[03Jan2025 00:00:06.430] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=289, y=219, z=1239} BlockPos{x=290, y=219, z=1242}
[03Jan2025 00:00:06.492] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=289, y=219, z=1239} BlockPos{x=290, y=219, z=1242}
[03Jan2025 00:00:06.521] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=289, y=219, z=1239} BlockPos{x=290, y=219, z=1242}
[03Jan2025 00:00:06.588] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=288, y=219, z=1239} BlockPos{x=290, y=219, z=1242}
[03Jan2025 00:00:06.639] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=288, y=219, z=1239} BlockPos{x=290, y=219, z=1242}
[03Jan2025 00:00:06.677] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=288, y=219, z=1239} BlockPos{x=290, y=219, z=1242}
[03Jan2025 00:00:06.740] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=286, y=219, z=1239} BlockPos{x=290, y=219, z=1242}
[03Jan2025 00:00:06.788] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=286, y=219, z=1239} BlockPos{x=290, y=219, z=1242}
[03Jan2025 00:00:06.825] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=285, y=219, z=1239} BlockPos{x=290, y=219, z=1242}
[03Jan2025 00:00:06.889] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=285, y=219, z=1239} BlockPos{x=290, y=219, z=1242}
[03Jan2025 00:00:06.929] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=285, y=219, z=1238} BlockPos{x=290, y=219, z=1242}
[03Jan2025 00:00:06.990] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=285, y=219, z=1238} BlockPos{x=290, y=219, z=1242}
[03Jan2025 00:00:07.039] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=285, y=219, z=1238} BlockPos{x=290, y=219, z=1242}
[03Jan2025 00:00:07.090] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=285, y=219, z=1238} BlockPos{x=290, y=219, z=1242}
[03Jan2025 00:00:07.139] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=285, y=219, z=1238} BlockPos{x=290, y=219, z=1242}
[03Jan2025 00:00:07.175] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=287, y=219, z=1238} BlockPos{x=290, y=219, z=1242}
[03Jan2025 00:00:07.239] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=287, y=219, z=1238} BlockPos{x=290, y=219, z=1242}
[03Jan2025 00:00:07.288] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=288, y=219, z=1238} BlockPos{x=290, y=219, z=1242}
[03Jan2025 00:00:07.339] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=288, y=219, z=1238} BlockPos{x=290, y=219, z=1242}
[03Jan2025 00:00:07.389] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=289, y=219, z=1238} BlockPos{x=290, y=219, z=1242}
[03Jan2025 00:00:07.427] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=289, y=219, z=1238} BlockPos{x=290, y=219, z=1242}
[03Jan2025 00:00:07.489] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=289, y=219, z=1238} BlockPos{x=290, y=219, z=1242}
[03Jan2025 00:00:07.741] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=288, y=219, z=1237} BlockPos{x=289, y=219, z=1238}
[03Jan2025 00:00:07.790] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=288, y=219, z=1237} BlockPos{x=289, y=219, z=1238}
[03Jan2025 00:00:07.839] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=287, y=219, z=1237} BlockPos{x=289, y=219, z=1238}
[03Jan2025 00:00:07.989] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=285, y=219, z=1237} BlockPos{x=286, y=219, z=1237}
[03Jan2025 00:00:08.041] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=285, y=219, z=1237} BlockPos{x=286, y=219, z=1237}
[03Jan2025 00:00:08.093] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=285, y=219, z=1237} BlockPos{x=286, y=219, z=1237}
[03Jan2025 00:00:08.148] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=285, y=219, z=1237} BlockPos{x=286, y=219, z=1237}
[03Jan2025 00:00:08.190] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=285, y=219, z=1236} BlockPos{x=286, y=219, z=1237}
[03Jan2025 00:00:08.239] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=285, y=219, z=1236} BlockPos{x=286, y=219, z=1237}
[03Jan2025 00:00:08.277] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=285, y=219, z=1236} BlockPos{x=286, y=219, z=1237}
[03Jan2025 00:00:08.339] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=285, y=219, z=1236} BlockPos{x=286, y=219, z=1237}
[03Jan2025 00:00:08.373] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=286, y=219, z=1236} BlockPos{x=286, y=219, z=1237}
[03Jan2025 00:00:08.439] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=286, y=219, z=1236} BlockPos{x=286, y=219, z=1237}
[03Jan2025 00:00:08.473] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=286, y=219, z=1236} BlockPos{x=286, y=219, z=1237}
[03Jan2025 00:00:08.541] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=288, y=219, z=1236} BlockPos{x=286, y=219, z=1237}
[03Jan2025 00:00:08.573] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=288, y=219, z=1236} BlockPos{x=286, y=219, z=1237}
[03Jan2025 00:00:08.639] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=288, y=219, z=1236} BlockPos{x=286, y=219, z=1237}
[03Jan2025 00:00:08.688] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=289, y=219, z=1236} BlockPos{x=286, y=219, z=1237}
[03Jan2025 00:00:08.739] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=289, y=219, z=1236} BlockPos{x=286, y=219, z=1237}
[03Jan2025 00:00:08.877] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=289, y=219, z=1235} BlockPos{x=290, y=219, z=1236}
[03Jan2025 00:00:08.929] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=289, y=219, z=1235} BlockPos{x=290, y=219, z=1236}
[03Jan2025 00:00:08.994] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=289, y=219, z=1235} BlockPos{x=290, y=219, z=1236}
[03Jan2025 00:00:09.043] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=289, y=219, z=1235} BlockPos{x=290, y=219, z=1236}
[03Jan2025 00:00:09.095] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=289, y=219, z=1235} BlockPos{x=290, y=219, z=1236}
[03Jan2025 00:00:09.128] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=289, y=219, z=1235} BlockPos{x=290, y=219, z=1236}
[03Jan2025 00:00:09.195] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=286, y=219, z=1235} BlockPos{x=290, y=219, z=1236}
[03Jan2025 00:00:09.224] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=286, y=219, z=1235} BlockPos{x=290, y=219, z=1236}
[03Jan2025 00:00:09.294] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=285, y=219, z=1235} BlockPos{x=290, y=219, z=1236}
[03Jan2025 00:00:10.392] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=286, y=219, z=1233} BlockPos{x=289, y=219, z=1233}
[03Jan2025 00:00:10.441] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=286, y=219, z=1233} BlockPos{x=289, y=219, z=1233}
[03Jan2025 00:00:10.491] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=286, y=219, z=1233} BlockPos{x=289, y=219, z=1233}
[03Jan2025 00:00:10.529] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=285, y=219, z=1233} BlockPos{x=289, y=219, z=1233}
[03Jan2025 00:00:17.138] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=289, y=219, z=1227} BlockPos{x=289, y=219, z=1228}
[03Jan2025 00:00:17.175] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=289, y=219, z=1227} BlockPos{x=289, y=219, z=1228}
[03Jan2025 00:00:17.240] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=288, y=219, z=1227} BlockPos{x=289, y=219, z=1228}
[03Jan2025 00:00:17.290] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=288, y=219, z=1227} BlockPos{x=289, y=219, z=1228}
[03Jan2025 00:00:17.328] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=288, y=219, z=1227} BlockPos{x=289, y=219, z=1228}
[03Jan2025 00:00:17.388] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=288, y=219, z=1227} BlockPos{x=289, y=219, z=1228}
[03Jan2025 00:00:17.428] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=285, y=219, z=1227} BlockPos{x=289, y=219, z=1228}
[03Jan2025 00:00:17.488] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=285, y=219, z=1227} BlockPos{x=289, y=219, z=1228}
[03Jan2025 00:02:27.061] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: [Not Secure] <memame123321> no hay
[03Jan2025 00:02:29.943] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: [Not Secure] <memame123321> xd
[03Jan2025 00:03:28.179] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: [Not Secure] <memame123321> cuando
[03Jan2025 00:03:32.149] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: [Not Secure] <memame123321> quito el pacifico?
[03Jan2025 00:03:39.690] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: [Not Secure] <Alexpa_jp> lo mas pronto
[03Jan2025 00:03:41.057] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: [Not Secure] <Alexpa_jp> xd
[03Jan2025 00:03:47.902] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: [Not Secure] <Alexpa_jp> mejor dame 1
[03Jan2025 00:03:54.279] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: [Not Secure] <Alexpa_jp> te doy un diamante
